,belongs_to_collection,id,collection_id
0,1,862,10194
1,1,710,645
2,1,9273,3167
3,1,8012,91698
4,1,9598,9435
5,1,9312,9818
6,1,10530,136214
7,1,10634,43563
8,1,755,10924
9,1,9102,122017
10,1,9737,14890
11,1,414,120794
12,1,5894,439053
13,1,8839,8819
14,1,8068,9649
15,1,1572,1570
16,1,9070,286162
17,1,1642,328073
18,1,11980,9068
19,1,10802,247294
20,1,10149,439053
21,1,9348,9887
22,1,3512,112399
23,1,50797,23170
24,1,76,123800
25,1,2292,182813
26,1,8467,96665
27,1,628,217704
28,1,11,10
29,1,22586,144200
30,1,11395,53159
31,1,193,115570
32,1,3049,3167
33,1,9331,192492
34,1,9495,9436
35,1,888,351684
36,1,8587,94032
37,1,11596,8581
38,1,854,43072
39,1,36593,37139
40,1,1637,43064
41,1,8831,170452
42,1,11667,261203
43,1,8011,8050
44,1,306,85861
45,1,1634,9328
46,1,5503,134011
47,1,2019,412680
48,1,9255,52988
49,1,329,328
50,1,11231,8580
51,1,5550,5547
52,1,8850,105075
53,1,78,422837
54,1,771,9888
55,1,812,86027
56,1,280,528
57,1,268,120794
58,1,274,9743
59,1,10020,153010
60,1,8766,8917
61,1,954,87359
62,1,8840,169452
63,1,10547,116661
64,1,627,424202
65,1,602,304378
66,1,10545,97456
67,1,9327,86028
68,1,10546,9436
69,1,9431,115142
70,1,10061,115838
71,1,238,230
72,1,11134,269098
73,1,10987,91361
74,1,62,4438
75,1,3529,47814
76,1,10331,261590
77,1,11224,55419
78,1,10948,100970
79,1,562,1570
80,1,10163,124935
81,1,88,86058
82,1,8491,118221
83,1,402,86336
84,1,11843,937
85,1,1103,115838
86,1,11298,174218
87,1,1891,10
88,1,85,84
89,1,679,8091
90,1,429,48317
91,1,1892,10
92,1,348,8091
93,1,539,119674
94,1,525,112636
95,1,240,230
96,1,9277,330605
97,1,218,528
98,1,829,359005
99,1,765,1960
100,1,105,264
101,1,8009,8050
102,1,756,55427
103,1,89,84
104,1,8077,8091
105,1,9529,98580
106,1,7340,257053
107,1,377,8581
108,1,794,10919
109,1,199,115570
110,1,9279,307637
111,1,11674,124916
112,1,1573,1570
113,1,152,151
114,1,174,151
115,1,172,151
116,1,154,151
117,1,157,151
118,1,168,151
119,1,364,120794
120,1,11967,9329
121,1,621,86083
122,1,9037,86083
123,1,8845,112399
124,1,578,2366
125,1,579,2366
126,1,17692,2366
127,1,4232,2602
128,1,34314,166379
129,1,11419,108693
130,1,10003,86224
131,1,6499,286162
132,1,9360,105995
133,1,816,1006
134,1,330,328
135,1,1639,43064
136,1,415,120794
137,1,607,86055
138,1,9387,43055
139,1,20737,97445
140,1,4961,10721
141,1,1669,192492
142,1,9437,142680
143,1,10351,135489
144,1,3597,3601
145,1,1281,103372
146,1,563,10522
147,1,9823,9818
148,1,8078,8091
149,1,9714,9888
150,1,4233,2602
151,1,714,645
152,1,9922,351886
153,1,11568,112636
154,1,11808,134011
155,1,617,33059
156,1,10216,9887
157,1,10674,87236
158,1,846,19387
159,1,3050,3169
160,1,944,945
161,1,1051,155474
162,1,1366,1575
163,1,10014,8581
164,1,10072,8581
165,1,10131,8581
166,1,10160,8581
167,1,11284,8581
168,1,4488,9735
169,1,9725,9735
170,1,9728,9735
171,1,9730,9735
172,1,9731,9735
173,1,10225,9735
174,1,10281,9735
175,1,10283,9735
176,1,948,91361
177,1,11281,91361
178,1,10676,91361
179,1,11357,91361
180,1,11361,91361
181,1,36599,123255
182,1,10585,10455
183,1,11186,10455
184,1,11187,10455
185,1,609,10453
186,1,11133,10453
187,1,10306,10453
188,1,9552,12263
189,1,11586,12263
190,1,941,945
191,1,942,945
192,1,943,945
193,1,927,89151
194,1,928,89151
195,1,9342,1657
196,1,165,264
197,1,196,264
198,1,551,372257
199,1,3170,87250
200,1,242,230
201,1,11158,72119
202,1,9354,72119
203,1,9325,97459
204,1,10144,33085
205,1,10414,10709
206,1,12230,100693
207,1,10693,55422
208,1,11135,57971
209,1,11319,57971
210,1,2619,248126
211,1,97,63043
212,1,11675,91361
213,1,87,84
214,1,123,141290
215,1,10823,115225
216,1,11497,140910
217,1,2907,11716
218,1,11704,141292
219,1,4978,8783
220,1,8393,87805
221,1,805,264338
222,1,34584,91430
223,1,34636,91430
224,1,36647,735
225,1,431,432
226,1,2109,90863
227,1,9877,52760
228,1,1091,479888
229,1,4437,4438
230,1,11932,10455
231,1,4518,100286
232,1,3600,3601
233,1,14444,57129
234,1,39256,374511
235,1,244,135495
236,1,10730,135498
237,1,31947,135498
238,1,9749,104833
239,1,14628,104833
240,1,9626,43055
241,1,707,645
242,1,9336,9338
243,1,9447,9435
244,1,200,115570
245,1,1369,5039
246,1,1368,5039
247,1,1370,5039
248,1,10303,89264
249,1,9326,89264
250,1,11285,86307
251,1,1367,1575
252,1,1371,1575
253,1,1374,1575
254,1,1375,1575
255,1,1885,8580
256,1,8856,8580
257,1,5825,108693
258,1,11815,123213
259,1,9426,109609
260,1,30497,111751
261,1,16337,111751
262,1,16780,111751
263,1,9671,9332
264,1,11873,387219
265,1,8224,387618
266,1,8913,10789
267,1,10906,10789
268,1,25748,115225
269,1,10671,33938
270,1,27932,33938
271,1,7227,33938
272,1,871,1709
273,1,1685,1709
274,1,1705,1709
275,1,1688,1709
276,1,1687,1709
277,1,29723,33938
278,1,9535,110127
279,1,796,52789
280,1,7341,257053
281,1,603,2344
282,1,564,1733
283,1,1893,10
284,1,1924,8537
285,1,8536,8537
286,1,9531,8537
287,1,11411,8537
288,1,138,221539
289,1,3035,218406
290,1,36685,281644
291,1,817,1006
292,1,37135,106768
293,1,2105,2806
294,1,10208,256377
295,1,2667,64750
296,1,9825,97768
297,1,620,2980
298,1,2978,2980
299,1,10766,10919
300,1,813,91663
301,1,11153,108693
302,1,10366,10713
303,1,11601,143757
304,1,11797,98168
305,1,9638,47770
306,1,10576,119674
307,1,1654,124492
308,1,658,645
309,1,657,645
310,1,646,645
311,1,5689,59586
312,1,391,48317
313,1,772,9888
314,1,16162,243598
315,1,5548,5547
316,1,5549,5547
317,1,699,645
318,1,709,645
319,1,253,645
320,1,660,645
321,1,11377,248339
322,1,16281,107725
323,1,16288,107725
324,1,1694,98036
325,1,10228,34055
326,1,36643,645
327,1,863,10194
328,1,32669,359005
329,1,10402,95664
330,1,25188,135509
331,1,10137,99727
332,1,49948,55427
333,1,10471,43563
334,1,14919,421904
335,1,2005,103573
336,1,6279,103573
337,1,8872,8979
338,1,9869,192492
339,1,9367,9649
340,1,4234,2602
341,1,9605,338282
342,1,8374,87186
343,1,2787,2794
344,1,2069,103577
345,1,838,124950
346,1,9532,8864
347,1,13939,14377
348,1,14373,14377
349,1,24873,14377
350,1,34746,14377
351,1,1498,1582
352,1,1497,1582
353,1,1499,1582
354,1,11690,36694
355,1,990,387219
356,1,11478,8647
357,1,17339,366826
358,1,13665,170754
359,1,12309,466318
360,1,106,399
361,1,1359,86105
362,1,10557,159616
363,1,11977,104847
364,1,889,351684
365,1,452,498
366,1,39283,256484
367,1,10560,246839
368,1,5683,179244
369,1,9285,96679
370,1,955,87359
371,1,8584,59567
372,1,668,645
373,1,691,645
374,1,698,645
375,1,682,645
376,1,9600,44979
377,1,10911,366826
378,1,938,48317
379,1,10246,109592
380,1,19698,109592
381,1,23919,109592
382,1,169,399
383,1,10128,174245
384,1,9659,8945
385,1,8810,8945
386,1,9355,8945
387,1,10068,121195
388,1,11495,207447
389,1,482,495
390,1,479,495
391,1,15379,46512
392,1,16094,159600
393,1,4247,4246
394,1,36657,748
395,1,12599,34055
396,1,11940,321063
397,1,12107,86028
398,1,9383,166376
399,1,15158,47770
400,1,26515,123256
401,1,8843,223564
402,1,10643,374512
403,1,37136,37139
404,1,37137,37139
405,1,11398,25410
406,1,1588,430186
407,1,12211,8050
408,1,12212,52760
409,1,16,498
410,1,9003,8917
411,1,9064,8917
412,1,11569,8917
413,1,1597,51509
414,1,18498,44913
415,1,4327,86029
416,1,681,645
417,1,16340,57129
418,1,10481,124916
419,1,146,290973
420,1,11849,106498
421,1,708,645
422,1,10673,52783
423,1,11688,178117
424,1,1493,93220
425,1,10577,115822
426,1,15739,312735
427,1,9816,107469
428,1,96,85861
429,1,90,85861
430,1,18935,330555
431,1,764,1960
432,1,580,2366
433,1,1547,109076
434,1,10019,124951
435,1,9740,9743
436,1,11454,9743
437,1,23730,257571
438,1,10054,86486
439,1,2043,142680
440,1,10991,34055
441,1,10991,34055
442,1,10991,34055
443,1,10991,34055
444,1,10991,34055
445,1,10991,34055
446,1,10991,34055
447,1,10991,34055
448,1,634,8936
449,1,10956,353325
450,1,9290,9332
451,1,1734,1733
452,1,808,2150
453,1,1406,150156
454,1,966,110021
455,1,10865,100965
456,1,1995,2467
457,1,10808,3169
458,1,9799,9485
459,1,10992,87014
460,1,4248,4246
461,1,11286,101688
462,1,2114,140760
463,1,8835,86024
464,1,3980,10893
465,1,10127,10893
466,1,26386,330555
467,1,12144,19163
468,1,24929,101471
469,1,10925,101471
470,1,24266,89272
471,1,12500,91945
472,1,1648,91746
473,1,10222,105322
474,1,9494,9521
475,1,9942,97771
476,1,331,328
477,1,10135,224976
478,1,9880,107674
479,1,5175,90863
480,1,2770,2806
481,1,8922,94899
482,1,9398,352789
483,1,10866,166378
484,1,984,10456
485,1,141,178106
486,1,585,137696
487,1,671,1241
488,1,16085,449750
489,1,10649,10456
490,1,10650,10456
491,1,8007,98513
492,1,161,304
493,1,120,119
494,1,11595,93295
495,1,9610,43055
496,1,150,93295
497,1,16690,55422
498,1,39939,449462
499,1,11979,217704
500,1,23479,215326
501,1,425,8354
502,1,1576,17255
503,1,36586,735
504,1,11452,43220
505,1,8346,389767
506,1,9334,116669
507,1,11470,9735
508,1,557,556
509,1,12227,178654
510,1,1894,10
511,1,15417,168182
512,1,4614,192492
513,1,2501,31562
514,1,9637,86860
515,1,11544,97461
516,1,608,86055
517,1,10996,99727
518,1,818,1006
519,1,9488,86486
520,1,7451,52785
521,1,9266,115839
522,1,15070,117777
523,1,9595,52988
524,1,10611,176097
525,1,4108,9518
526,1,12262,267922
527,1,9533,9743
528,1,24348,173344
529,1,565,14563
530,1,21925,173344
531,1,10285,9735
532,1,11009,288280
533,1,10805,288280
534,1,9012,17178
535,1,12208,645
536,1,672,1241
537,1,13888,59586
538,1,9538,88574
539,1,36669,645
540,1,10426,43563
541,1,14433,374386
542,1,9932,110127
543,1,201,115570
544,1,121,119
545,1,9358,8864
546,1,6038,59567
547,1,12139,195441
548,1,17264,405393
549,1,2671,93369
550,1,29912,366444
551,1,2662,105625
552,1,36658,748
553,1,10708,228887
554,1,604,2344
555,1,1555,239766
556,1,310,124949
557,1,12,137697
558,1,9902,52985
559,1,584,9485
560,1,10152,96665
561,1,170,1565
562,1,9471,86029
563,1,10327,86024
564,1,296,528
565,1,22,295
566,1,8961,14890
567,1,9486,86117
568,1,1996,2467
569,1,12279,86486
570,1,8273,2806
571,1,9257,221111
572,1,6466,9735
573,1,10923,91427
574,1,9362,91799
575,1,12268,937
576,1,11351,94899
577,1,11547,201576
578,1,1428,9649
579,1,8408,261590
580,1,277,2326
581,1,10438,168880
582,1,11059,117927
583,1,24,2883
584,1,9373,425175
585,1,4256,4246
586,1,605,2344
587,1,10147,423173
588,1,9556,45154
589,1,860,151263
590,1,8010,8050
591,1,951,397444
592,1,3176,16302
593,1,11811,19285
594,1,10028,144689
595,1,122,119
596,1,11007,114783
597,1,1954,52749
598,1,9838,135502
599,1,10677,86058
600,1,553,1952
601,1,1487,17235
602,1,11358,299748
603,1,2122,103577
604,1,923,261590
605,1,393,2883
606,1,10625,99606
607,1,7131,109608
608,1,667,645
609,1,700,645
610,1,36670,645
611,1,25508,272673
612,1,13282,434533
613,1,26268,434270
614,1,809,2150
615,1,673,1241
616,1,2789,2794
617,1,8920,86115
618,1,9372,475802
619,1,558,556
620,1,80,123800
621,1,8699,93791
622,1,11247,437451
623,1,2502,31562
624,1,11282,30663
625,1,11130,107674
626,1,395,115762
627,1,10762,146534
628,1,11237,105995
629,1,24924,136218
630,1,1577,17255
631,1,1970,1974
632,1,176,656
633,1,9806,468222
634,1,9801,8936
635,1,2059,52984
636,1,11836,275402
637,1,163,304
638,1,36648,735
639,1,12088,86341
640,1,844,287016
641,1,4689,4563
642,1,12496,377545
643,1,670,4563
644,1,83,86113
645,1,10320,14563
646,1,693,51509
647,1,11804,102777
648,1,11633,87800
649,1,27549,106000
650,1,11637,176118
651,1,8968,96937
652,1,561,437628
653,1,3040,3106
654,1,4551,91698
655,1,187,135179
656,1,10065,397842
657,1,11679,52785
658,1,1895,10
659,1,953,14740
660,1,9779,17368
661,1,272,263
662,1,11451,12087
663,1,11683,261590
664,1,9738,9744
665,1,1826,239766
666,1,6519,332357
667,1,11453,95664
668,1,9335,9518
669,1,7553,93731
670,1,11968,174386
671,1,533,529
672,1,1656,1657
673,1,215,656
674,1,1951,1952
675,1,25,285564
676,1,9885,268098
677,1,674,1241
678,1,411,420
679,1,9641,114783
680,1,10045,85946
681,1,168705,97307
682,1,1690,86578
683,1,10982,87255
684,1,834,2326
685,1,11565,44979
686,1,11283,35792
687,1,9286,8864
688,1,33061,123218
689,1,9975,55428
690,1,10053,276838
691,1,9682,124188
692,1,950,8354
693,1,1379,8385
694,1,9792,8918
695,1,3093,86336
696,1,4257,4246
697,1,588,64748
698,1,8982,251970
699,1,956,87359
700,1,591,115776
701,1,36668,748
702,1,920,87118
703,1,58,295
704,1,2295,182813
705,1,9615,9485
706,1,1452,8537
707,1,1593,85943
708,1,1948,64751
709,1,9762,86092
710,1,12094,17178
711,1,7484,66761
712,1,1975,1974
713,1,8975,166373
714,1,3683,261382
715,1,214,656
716,1,13767,53159
717,1,36557,645
718,1,9836,92012
719,1,1246,1575
720,1,1251,261382
721,1,9992,85817
722,1,7516,96680
723,1,1248,9743
724,1,1250,90306
725,1,1271,125570
726,1,10294,86112
727,1,1268,103372
728,1,559,556
729,1,2269,3106
730,1,11798,376863
731,1,1562,1565
732,1,810,2150
733,1,285,295
734,1,298,304
735,1,1691,86578
736,1,9408,436295
737,1,1979,9744
738,1,1991,339577
739,1,1571,1570
740,1,2698,124949
741,1,1858,8650
742,1,675,1241
743,1,2503,31562
744,1,5174,90863
745,1,14144,228887
746,1,2082,126209
747,1,7737,17255
748,1,4517,100286
749,1,4513,91660
750,1,17202,143588
751,1,663,656
752,1,1620,390096
753,1,6477,167613
754,1,6637,52984
755,1,440,115762
756,1,8329,74508
757,1,7555,5039
758,1,11253,17235
759,1,8328,86092
760,1,155,263
761,1,8456,96676
762,1,10488,232844
763,1,1266,124881
764,1,13335,30663
765,1,1726,131292
766,1,8681,135483
767,1,13001,44215
768,1,2454,420
769,1,217,84
770,1,4564,50457
771,1,9502,77816
772,1,8909,462400
773,1,11631,458558
774,1,88751,72547
775,1,16007,102019
776,1,11802,118828
777,1,8836,19387
778,1,1735,1733
779,1,12289,96677
780,1,10483,86116
781,1,13812,123932
782,1,10527,14740
783,1,10764,645
784,1,11917,656
785,1,14405,87256
786,1,8966,33514
787,1,13387,9518
788,1,14306,230532
789,1,14756,70068
790,1,14435,264437
791,1,12437,2326
792,1,14560,328372
793,1,1977,1974
794,1,16353,94589
795,1,15472,24761
796,1,13804,9485
797,1,15092,64751
798,1,2080,453993
799,1,13475,115575
800,1,15384,96677
801,1,13448,115776
802,1,534,528
803,1,18360,85943
804,1,18785,86119
805,1,14451,286038
806,1,8373,8650
807,1,8355,8354
808,1,767,1241
809,1,14869,135468
810,1,24150,126209
811,1,19912,8864
812,1,22794,177467
813,1,23827,41437
814,1,22804,656
815,1,18239,33514
816,1,19995,87096
817,1,10528,102322
818,1,23398,167613
819,1,33613,24761
820,1,32657,179919
821,1,15357,85946
822,1,23023,222634
823,1,12155,261307
824,1,31723,86668
825,1,23048,313576
826,1,10191,89137
827,1,18823,86780
828,1,23483,179892
829,1,33217,86110
830,1,10138,131292
831,1,23437,8581
832,1,37786,50457
833,1,10193,10194
834,1,10192,2150
835,1,24021,33514
836,1,34851,399
837,1,20352,86066
838,1,38365,180546
839,1,37472,70068
840,1,27578,126125
841,1,43593,104830
842,1,42194,294172
843,1,23631,210006
844,1,40264,278920
845,1,35791,17255
846,1,33909,52783
847,1,43933,306926
848,1,16290,17178
849,1,39514,163902
850,1,41436,41437
851,1,41439,656
852,1,12444,1241
853,1,38757,463959
854,1,10140,420
855,1,20526,63043
856,1,39451,51509
857,1,27582,280504
858,1,38322,44979
859,1,49018,228446
860,1,60307,86110
861,1,46195,229932
862,1,10195,131296
863,1,51497,9485
864,1,1865,295
865,1,45243,86119
866,1,49444,77816
867,1,49538,748
868,1,38356,8650
869,1,51540,280588
870,1,49013,87118
871,1,12445,1241
872,1,1771,131295
873,1,41513,134897
874,1,61791,173710
875,1,55779,8864
876,1,55465,30663
877,1,58151,230161
878,1,52015,473843
879,1,24428,86311
880,1,60935,479888
881,1,72571,41437
882,1,58233,86117
883,1,64328,256377
884,1,50619,33514
885,1,76163,126125
886,1,70160,131635
887,1,49026,263
888,1,49040,31562
889,1,58574,102322
890,1,56292,87359
891,1,62837,288491
892,1,52520,2326
893,1,72545,72547
894,1,53174,215452
895,1,71676,90306
896,1,64688,212562
897,1,57165,86780
898,1,10679,312977
899,1,71552,2806
900,1,94329,257960
901,1,74534,306937
902,1,67660,239430
903,1,41154,86055
904,1,58595,393379
905,1,70981,135416
906,1,80321,14740
907,1,72105,266672
908,1,77930,328247
909,1,1930,125574
910,1,57800,8354
911,1,84165,138908
912,1,37724,645
913,1,71668,104830
914,1,114150,306031
915,1,71679,17255
916,1,82675,135483
917,1,82507,357173
918,1,76492,185103
919,1,94348,142680
920,1,82690,404825
921,1,49051,121938
922,1,117629,409138
923,1,75780,403374
924,1,47964,1570
925,1,132344,123800
926,1,72559,135468
927,1,49519,464577
928,1,117263,386534
929,1,68721,131292
930,1,54138,115575
931,1,109439,86119
932,1,82992,9485
933,1,75656,382685
934,1,49521,209131
935,1,62211,137696
936,1,68726,363369
937,1,72190,416468
938,1,93456,86066
939,1,138843,313086
940,1,76170,453993
941,1,76285,179919
942,1,77931,134897
943,1,138832,297923
944,1,109418,180546
945,1,59859,179892
946,1,87421,2794
947,1,151960,270252
948,1,109451,177467
949,1,106747,210006
950,1,208134,17178
951,1,76338,131296
952,1,101299,131635
953,1,57158,121938
954,1,109445,386382
955,1,109443,93791
956,1,227348,41437
957,1,168530,376650
958,1,137094,192492
959,1,157350,283579
960,1,137106,325470
961,1,97020,5547
962,1,53182,125570
963,1,100402,131295
964,1,145220,256377
965,1,180299,257960
966,1,102382,125574
967,1,172385,229932
968,1,195589,400700
969,1,127585,748
970,1,177677,87359
971,1,187017,212562
972,1,82702,89137
973,1,184098,239430
974,1,91314,8650
975,1,218836,270252
976,1,119450,173710
977,1,238636,256322
978,1,118340,284433
979,1,138103,126125
980,1,98566,401562
981,1,189,135179
982,1,198663,295130
983,1,245891,404609
984,1,242512,426103
985,1,131631,131635
986,1,100042,96665
987,1,135397,328
988,1,227159,280588
989,1,270946,14740
990,1,294254,295130
991,1,122917,121938
992,1,207703,391860
993,1,181533,85943
994,1,260346,135483
995,1,87101,528
996,1,76341,8945
997,1,140607,10
998,1,99861,86311
999,1,102899,422834
1000,1,293660,448150
1001,1,271110,131295
1002,1,246655,748
1003,1,216015,344830
1004,1,268238,306937
1005,1,262500,283579
1006,1,168259,9485
1007,1,256961,328372
1008,1,249070,390096
1009,1,254470,306031
1010,1,131634,131635
1011,1,328111,427084
1012,1,47933,304378
1013,1,188927,115575
1014,1,214756,266672
1015,1,211672,86066
1016,1,206647,645
1017,1,296099,108693
1018,1,209112,209131
1019,1,264999,328247
1020,1,159824,185103
1021,1,312221,1575
1022,1,329833,352789
1023,1,274167,473971
1024,1,140300,77816
1025,1,140300,77816
1026,1,267860,386534
1027,1,267860,386534
1028,1,290595,393379
1029,1,325133,400700
1030,1,127380,137697
1031,1,291805,382685
1032,1,308531,401562
1033,1,259693,313086
1034,1,43074,2980
1035,1,324668,31562
1036,1,316727,256322
